Name,Rating,Review,Salaries,Interviews,Jobs,Benefits,Photos
Randstad,3.7,(5k),17.9k,349,18,366,7
Hetero,3.9,(5k),15.8k,478,90,405,16
Intas Pharmaceuticals,4.1,(4.9k),18.2k,279,34,408,9
Havells,3.9,(4.9k),16.1k,321,23,341,14
Nagarro,3.8,(4.9k),34.5k,849,316,1.1k,16
Ecom Express,4.1,(4.9k),9.3k,270,--,311,39
Bosch,4.1,(4.9k),21.5k,394,2,620,18
Aditya Birla Fashion and Retail,4.1,(4.9k),13.5k,290,86,423,14
Tata AIA Life Insurance,3.8,(4.9k),15.4k,271,926,325,25
R1 RCM,3.8,(4.9k),22.9k,380,184,365,23
L&T Finance,3.9,(4.9k),11.9k,244,--,255,45
EY Global Delivery Services ( EY GDS),3.4,(4.9k),55k,945,20,368,18
Eviden,3.6,(4.8k),25.8k,317,--,3,11
Berger Paints,3.7,(4.8k),11k,469,303,291,11
Cars24,3.5,(4.8k),16.1k,423,84,403,18
Hewlett Packard Enterprise,4.0,(4.8k),27.9k,275,307,556,18
Mahindra Logistics,3.7,(4.8k),12.9k,259,121,455,24
Dell,3.8,(4.7k),29.7k,447,17,562,25
Deutsche Bank,3.8,(4.7k),39.3k,450,290,432,81
Home Credit Finance,4.0,(4.7k),9k,157,114,604,7
TeamLease Services,3.9,(4.7k),16.8k,273,--,228,6
Motilal Oswal Financial Services,3.6,(4.7k),13.9k,563,60,182,90
VE Commercial Vehicles,3.9,(4.6k),14.8k,309,20,379,13
Hyundai Motor India Limited,4.1,(4.6k),14.6k,339,3,538,33
OPPO,3.9,(4.6k),11.4k,268,10,591,10
Thermax Limited,4.2,(4.6k),13.7k,368,34,405,24
Carelon Global Solutions,3.9,(4.5k),29.3k,441,62,38,13
Hindalco Industries,4.2,(4.5k),13.4k,335,15,380,23
Jindal Steel Limited,3.9,(4.5k),16.6k,460,47,368,39
Jubilant Foods Works,3.7,(4.5k),10k,275,271,215,20
Macleods Pharmaceuticals,3.7,(4.5k),16.1k,285,20,353,4
State Street Corporation,3.5,(4.4k),35.1k,309,11,287,11
Aakash Educational Services,3.2,(4.4k),14.1k,388,110,222,25
Bajaj Auto,3.8,(4.4k),15.1k,343,40,489,19
LG Electronics,3.8,(4.4k),11.4k,278,13,410,18
DCB Bank,3.8,(4.3k),9.9k,240,19,264,24
RBL Bank,3.5,(4.3k),19k,256,49,227,13
HDFC ERGO General Insurance,3.9,(4.3k),12.4k,220,32,284,7
Royal Enfield,4.2,(4.3k),15.3k,215,4,403,39
Cloudnine Hospital,4.5,(4.2k),3.3k,1.7k,30,243,7
John Deere,4.0,(4.2k),16.1k,281,4,448,12
Cummins,4.3,(4.2k),15.8k,305,234,473,17
Publicis Sapient,3.2,(4.2k),33.5k,727,95,422,70
Kogta Financial India Limited,4.6,(4.2k),2.1k,252,104,40,39
Grasim Industries,4.0,(4.2k),13.7k,306,2,311,17
Tata Communications,3.8,(4.2k),23.9k,314,296,432,13
Aditya Birla Sun Life Insurance,4.0,(4.2k),10.9k,198,--,227,23
Alembic Pharmaceuticals,3.9,(4.2k),15.8k,277,65,398,9
Blinkit,3.8,(4.1k),15.1k,435,2,260,45
Bank of America,4.1,(4.1k),30.9k,301,--,427,--
KPIT Technologies,2.8,(4.1k),24.8k,364,32,304,17
Pidilite Industries,4.2,(4.2k),12.4k,279,6,373,5
Kyndryl,3.9,(4.1k),29.1k,248,840,194,60
PhonePe,3.9,(4.1k),14.8k,466,38,222,14
Aditya Birla Capital,3.8,(4.1k),14.8k,280,123,241,32
American Express,4.1,(4.1k),26.4k,451,286,470,10
PNB MetLife,3.3,(4.1k),8.7k,204,1,229,18
JK Cement,4.0,(4.1k),10.5k,368,1,287,29
Subros,3.7,(4.1k),12.9k,240,1,404,23
